SMILES                                                      Zinc_ID
c1cc(cc(c1)OCCCC(=O)Nc1ccc(c(c1)C(=O)N)C)C(=O)C                 ZINC66441011
c1cc(cc(c1)O)C(=O)N1CCN(C(=O)Cc2ccc(c(c2)O)C)CC1                ZINC89439110
c1cc(ccc1C(=O)OC)NC(=O)N1CCC(c2ccc(cc2)O)CC1                    ZINC48007191
c1cc(ccc1C(=O)NCC(=O)N1Cc2cc(ccc2CC1)O)OCC                      ZINC52865789
c1cc(cc(c1)NCC(=O)Nc1cccc(c1C)NC(=O)CC)C(=O)N                   ZINC66095198
c1cnc(nc1N1CCC(c2nnc(Cn3cncn3)n2CC)CC1)N                        ZINC91829853
c1cc(ccc1C[NH2+]CCOc1ccc2c(c1)CCC(=O)N2)NC(=O)C                 ZINC75808880
C1=C(N=C([NH+]=C1)N1CC[C@@H](c2nnc(Cn3ccnc3)n2CC)CC1)N          ZINC91690713
c1cc(cc2c1CCN(C(=O)NCCc1ccc(cc1)OC(C)C)C2)O                     ZINC45927015
c1cc(c(cc1CC(=O)N[C@H](c1ccc(cc1)N1CCOCC1)C)O)C                 ZINC89438157
c1cc(ccc1C(=O)NC)C[N@H+](C)Cc1ccc(cc1)N1CCOCC1                  ZINC66951466
c1cc(ccc1n1cc(cn1)C(=O)Nc1c(cn(C)n1)C(=O)N)[N+](=O)[O-]         ZINC93281296
c1cc(ccc1C(=O)N)NC(=O)C1CCN(c2ccc(=O)n(C)n2)CC1                 ZINC85470913
c1cc(c(cc1/C=C/C(=O)N1CC[C@H](c2ccc(cc2)O)CC1)F)OC              ZINC78472462
C(#N)c1cccc(c1)NC(=O)C[S@@](=O)Cc1ccc(cc1)C(=O)NC               ZINC66950064
c1cc(cc(c1)OCC[NH2+][C@H](c1ccc2c(c1)[nH]c(=O)[nH]2)C)NC(=O)C   ZINC91372678
c1cc(cc(c1)NC(=O)CCC1CCN(C(=O)C)CC1)c1nc(C)[nH]n1               ZINC79657430
c1cc(ccc1CN1C[C@@H](C)O[C@H](C1)C)CNc1cncc(C(=O)N)n1            ZINC80770919
c1cc(cc(c1)NC(=O)N1CCN(c2ccc(cc2)O)CC1)C[NH+](C)C               ZINC44292982
C(#N)[C@H](C)Oc1ccc(cc1)C[N@H+]1CC[C@H](c2ccnn2CCO)CC1          ZINC92811182
c1cc(c(c(c1)NC(=O)NCc1ccc(cc1)C[NH+](C)C)C)NC(=O)C              ZINC76102818
c1cc(cc(c1)O)c1ncc(cn1)NC(=O)c1cc(c(C)s1)[N+](=O)[O-]           ZINC57884432
c1cc(cc(c1)NC(=O)CCCNc1ccc(cc1)[N+](=O)[O-])NC(=O)C             ZINC20896906
c1cc(c(cc1N1CCC(CC1)Oc1ccnc(c1)C(=O)N)C)[N+](=O)[O-]            ZINC92946105
